product_id,retailer,price_usd,size,unit,url,checked_on
cerave-hydrating-facial-cleanser,brand,15.99,12,fl oz,https://www.cerave.com/skincare/cleansers/hydrating-facial-cleanser,2026-09-23
cerave-foaming-facial-cleanser,brand,15.99,12,fl oz,https://www.cerave.com/skincare/cleansers/foaming-facial-cleanser,2026-09-23
cerave-acne-foaming-cream-cleanser,brand,17.99,5,oz,https://www.cerave.com/skincare/cleansers/acne-benzoyl-peroxide-cleanser,2026-09-23
the-inkey-list-oat-cleansing-balm,brand,17.00,150,ml,https://www.theinkeylist.com/products/oat-cleansing-balm-150ml,2026-09-23
the-inkey-list-salicylic-acid-cleanser,brand,15.00,150,ml,https://www.theinkeylist.com/products/salicylic-acid-cleanser,2026-09-23
cosrx-low-ph-good-morning-gel-cleanser,brand,14.00,150,ml,https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser,2026-09-23
cosrx-low-ph-good-morning-gel-cleanser,brand,9.99,50,ml,https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser,2026-09-23
beauty-of-joseon-green-plum-refreshing-cleanser,brand,13.00,100,ml,https://beautyofjoseon.com/products/green-plum-refreshing-cleanser,2026-09-23
beauty-of-joseon-green-plum-refreshing-cleanser,brand,16.00,200,ml,https://beautyofjoseon.com/products/green-plum-refreshing-cleanser,2026-09-23
banila-co-clean-it-zero-cleansing-balm-original,brand,8.00,25,ml,https://banilausa.com/products/clean-it-zero-cleansing-balm-original,2026-09-23
banila-co-clean-it-zero-cleansing-balm-original,brand,21.00,100,ml,https://banilausa.com/products/clean-it-zero-cleansing-balm-original,2026-09-23
banila-co-clean-it-zero-cleansing-balm-original,brand,29.00,180,ml,https://banilausa.com/products/clean-it-zero-cleansing-balm-original,2026-09-23
first-aid-beauty-ultra-gentle-pure-skin-face-cleanser,brand,12.00,2,oz,https://www.firstaidbeauty.com/products/ultra-gentle-pure-skin-face-cleanser,2026-09-23
first-aid-beauty-ultra-gentle-pure-skin-face-cleanser,brand,27.00,6,oz,https://www.firstaidbeauty.com/products/ultra-gentle-pure-skin-face-cleanser,2026-09-23
first-aid-beauty-ultra-gentle-pure-skin-face-cleanser,brand,34.00,8,oz,https://www.firstaidbeauty.com/products/ultra-gentle-pure-skin-face-cleanser,2026-09-23
glow-recipe-blueberry-bounce-gentle-cleanser,brand,34.00,160,ml,https://www.glowrecipe.com/products/glow-recipe-blueberry-bounce-gentle-cleanser,2026-09-23
glow-recipe-blueberry-bounce-gentle-cleanser,brand,10.00,30,ml,https://www.glowrecipe.com/products/glow-recipe-blueberry-bounce-gentle-cleanser,2026-09-23
